gene_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
7556428a16cd0cda1c3667dad2cce248,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
ee266c631fd6915a2ba89b394c38ff02,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
925c2dc921d73717f8b87da3d585e0e7,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
0b3d500346df9594acee58e2b75a8d3b,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
7cc83aaedc06577ef82e48f21690e343,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
1dbd68ad1273511e791c95ebe799609c,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
80612e7ea15116ab85b9bc774c988b4b,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
832f29797614ec05fdd320d0dd137b68,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
c40aebcf4dc6cc31da40c7e0dfb09d26,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
98519c0337db4e2f57b0d8f0a61c6c6c,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
2acc9b083ecc1e671113f300fe521abf,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
66a64fffbebf01133c99385401a3e034,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
32753da34942d62aaae350706d296e11,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
6782a86785b01debb1a5512b460896dc,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
d2f1168d004f3335bcf0fd8ef823f1b2,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
c666119c83117182a62e8ad25e2d43c9,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
aec53518bfda5bd45480f889bb56e2f3,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
b73443bd2cb92f3a9b20969b277c6985,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
9c82529c91060e79a2332903e92e71eb,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
e764dcc925757e55f037eeebb05509cf,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium
7fb0da650965a71fb443ee2e82ddcbb7,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
79569a96d0d609e551e8bf4ab4a875f8,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,UA11,NA,NA
d7a431895eb6a6120357563c88d8d3e4,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
fb9fbeab82b50dbd1c0b13ff0d6e04f3,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
e909fcd786e025ee660ddc4e06c68109,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
231492b1da671faee85e4c327e63023c,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
32e0fc2c6132f99d32c176bcd6b5588c,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
78279e099015fe0109508e97f262ee1f,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
7e9ea8e3021bf30bf61d2a1bb0d7daa4,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
9b1b5c18d4c9a28f1fd08367da7fb7cc,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
5afe48d0ada8c237102036c7c1710f05,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
a744e5480f61bb746874f391f24e4a26,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
15fef3d5eee5062462b1d04a2336ac25,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
4af8aafbb14f5b40b53c2e06d66fd3e4,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
